"set","gene"
"gamma_minus_alpha_unfiltered","CMKLR1"
"gamma_minus_alpha_unfiltered","CSF2RB"
"gamma_minus_alpha_unfiltered","CXCL9"
"gamma_minus_alpha_unfiltered","EIF4E3"
"gamma_minus_alpha_unfiltered","FAS"
"gamma_minus_alpha_unfiltered","FCGR1A"
"gamma_minus_alpha_unfiltered","FGL2"
"gamma_minus_alpha_unfiltered","FPR1"
"gamma_minus_alpha_unfiltered","GBP6"
"gamma_minus_alpha_unfiltered","GCH1"
"gamma_minus_alpha_unfiltered","GPR18"
"gamma_minus_alpha_unfiltered","GZMA"
"gamma_minus_alpha_unfiltered","HIF1A"
"gamma_minus_alpha_unfiltered","HLA-A"
"gamma_minus_alpha_unfiltered","HLA-B"
"gamma_minus_alpha_unfiltered","HLA-DMA"
"gamma_minus_alpha_unfiltered","HLA-DQA1"
"gamma_minus_alpha_unfiltered","HLA-DRB1"
"gamma_minus_alpha_unfiltered","HLA-G"
"gamma_minus_alpha_unfiltered","ICAM1"
"gamma_minus_alpha_unfiltered","IDO1"
"gamma_minus_alpha_unfiltered","IFIT1"
"gamma_minus_alpha_unfiltered","IFNAR2"
"gamma_minus_alpha_unfiltered","IL10RA"
"gamma_minus_alpha_unfiltered","IL15RA"
"gamma_minus_alpha_unfiltered","IL18BP"
"gamma_minus_alpha_unfiltered","IL2RB"
"gamma_minus_alpha_unfiltered","IL6"
"gamma_minus_alpha_unfiltered","IRF4"
"gamma_minus_alpha_unfiltered","IRF5"
"gamma_minus_alpha_unfiltered","IRF8"
"gamma_minus_alpha_unfiltered","ISOC1"
"gamma_minus_alpha_unfiltered","ITGB7"
"gamma_minus_alpha_unfiltered","JAK2"
"gamma_minus_alpha_unfiltered","KLRK1"
"gamma_minus_alpha_unfiltered","LATS2"
"gamma_minus_alpha_unfiltered","LCP2"
"gamma_minus_alpha_unfiltered","LYSMD2"
"gamma_minus_alpha_unfiltered","MARCHF1"
"gamma_minus_alpha_unfiltered","MT2A"
"gamma_minus_alpha_unfiltered","MTHFD2"
"gamma_minus_alpha_unfiltered","MVP"
"gamma_minus_alpha_unfiltered","MX2"
"gamma_minus_alpha_unfiltered","MYD88"
"gamma_minus_alpha_unfiltered","NAMPT"
"gamma_minus_alpha_unfiltered","NCOA3"
"gamma_minus_alpha_unfiltered","NFKB1"
"gamma_minus_alpha_unfiltered","NFKBIA"
"gamma_minus_alpha_unfiltered","NLRC5"
"gamma_minus_alpha_unfiltered","NOD1"
"gamma_minus_alpha_unfiltered","NUP93"
"gamma_minus_alpha_unfiltered","OAS2"
"gamma_minus_alpha_unfiltered","OAS3"
"gamma_minus_alpha_unfiltered","P2RY14"
"gamma_minus_alpha_unfiltered","PDE4B"
"gamma_minus_alpha_unfiltered","PELI1"
"gamma_minus_alpha_unfiltered","PFKP"
"gamma_minus_alpha_unfiltered","PIM1"
"gamma_minus_alpha_unfiltered","PLA2G4A"
"gamma_minus_alpha_unfiltered","PML"
"gamma_minus_alpha_unfiltered","PNP"
"gamma_minus_alpha_unfiltered","PSMA2"
"gamma_minus_alpha_unfiltered","PSMB10"
"gamma_minus_alpha_unfiltered","PSMB2"
"gamma_minus_alpha_unfiltered","PTGS2"
"gamma_minus_alpha_unfiltered","PTPN1"
"gamma_minus_alpha_unfiltered","PTPN2"
"gamma_minus_alpha_unfiltered","PTPN6"
"gamma_minus_alpha_unfiltered","RAPGEF6"
"gamma_minus_alpha_unfiltered","RBCK1"
"gamma_minus_alpha_unfiltered","RIGI"
"gamma_minus_alpha_unfiltered","RIPK1"
"gamma_minus_alpha_unfiltered","RNF213"
"gamma_minus_alpha_unfiltered","SAMHD1"
"gamma_minus_alpha_unfiltered","SECTM1"
"gamma_minus_alpha_unfiltered","SELP"
"gamma_minus_alpha_unfiltered","SERPING1"
"gamma_minus_alpha_unfiltered","SLAMF7"
"gamma_minus_alpha_unfiltered","SOCS1"
"gamma_minus_alpha_unfiltered","SOCS3"
